page,sn,section,description,pack_size,Qty,expiry_1,expiry_2,confidence,All corrected,
6,189,tablets,Zinc gluconate 20mg,,,,,high,All corrected,
6,,tablets,Telmisartan 40mg + Hydrochlorothiazide 12.5mg,28,240,2028-11,,check,All corrected, unnumbered
6,1,injections,Adrenaline HCL,,420,2028-02,2028-09,check,All corrected,
6,2,injections,Aminophylline 250mg,,1415,2028-01,,high,All corrected,
6,3,injections,Amoxicillin 500mg,,217,2027-11,,high,All corrected,
6,4,injections,Antisnake Venom,,,,,high,All corrected,
6,5,injections,Antirabies Vaccine,,,,,high,All corrected,
6,6,injections,Amoxiclav 1.2g,,170,2028-10,,high,All corrected,
6,7,injections,ATS 1500IU,,,,,high,All corrected,
6,8,injections,Antitetanus 1500IU,,,,,high,All corrected,
6,9,injections,Amiodarone 150mg,,,,,high,All corrected,
6,10,injections,Astymin IV,,,,,high,All corrected,
6,,injections,Cefpodoxime 200mg,,,2028-04,,check,All corrected,
7,11,injections,Actrapid Insulin 100iu,,451,2027-08,,high,All corrected,
7,12,injections,Atropine 0.5mg/ml,,451,2027-08,,high,All corrected,
7,13,injections,Atracurium,,,,,,All corrected,
7,14,injections,Azithromycin 500mg,,,,,,All corrected,
7,15,injections,Ceftriaxone 1g,,4242,2027-10,,high,All corrected,
7,16,injections,Chlorpromazine 50mg/2ml,,70,2027-05,,high,All corrected,
7,17,injections,Calcium Gluconate,,,,,high,All corrected,
7,18,injections,Carbetocin,,2008,2028-02,,high,All corrected,
7,19,injections,Ceftazidime,,,,,high,All corrected,
7,20,injections,Cefuroxime 750mg,,,,,high,All corrected,
7,21,injections,Clindamycin 300mg,,,,,high,All corrected,
7,22,injections,Crystalline penicillin 1mu,,548,2027-10,,high,All corrected,
7,23,injections,Ceftriaxone 1g + Sulbactam 0.5g,,300,2028-10,,high,All corrected,
7,24,injections,Dexamethasone 4mg,,195,2027-08,,check,All corrected,
7,25,injections,Diazepam 10mg,,1482,2026-08,2027-04,check,All corrected,
7,26,injections,Diclofenac Sodium 75mg/3ml,,80506,2028-04,,check,All corrected,
7,27,injections,Dobutamine 250mg,,,,,high,All corrected,
7,28,injections,Dopamine 200mg,,,,,high,All corrected,
7,29,injections,Erythropoietin 40mg,,,,,high,All corrected,
7,30,injections,Ergometrine 0.5mg/ml,,555,2028-06,2028-11,check,All corrected,
7,31,injections,Frusemide 20mg/2ml,,87190,2027-06,2028-04,check,All corrected,
7,32,injections,Fentanyl,,,,,high,All corrected,
7,33,injections,Fluconazole 200mg,,,,,high,All corrected,
7,34,injections,Fluphenazine,10,200,2027-02,,high,All corrected,
7,35,injections,Glycopyrrolate,,,,,high,All corrected,
7,36,injections,Gentamycin 80mg/2ml,,13540,2028-08,,high,All corrected,
7,37,injections,Haloperidol,,400,2029-07,,high,All corrected,
7,38,injections,Hydrocortisone 100mg,,15024,2027-12,,high,All corrected,
7,39,injections,Hyoscine N-Butyl Bromide 20mg/ml,,,,,high,All corrected,
7,40,injections,Heparin,,,,,high,All corrected,
7,41,injections,Heavy Vaccine,,375,2027-02,,check,All corrected,
7,42,injections,Iron Sucrose,,,,,high,All corrected,
7,43,injections,Isoflurane,,,,,high,All corrected,
7,44,injections,Isoplama,,,,,high,All corrected,
7,45,injections,Ketamine,,,,,check,All corrected,
8,46,injections,Lantus,,,,,high,All corrected,
8,47,injections,Labetalol,,834,2028-01,,high,All corrected,
8,48,injections,Lidocaine + Adrenaline,,600,2027-12,,high,All corrected,
8,49,injections,Lidocaine 2% 20mg/ml,,299,2028-11,2028-04,check,All corrected,
8,50,injections,Meropenem,,,,,high,All corrected,
8,51,injections,Methylprednisolone 500mg,,353,2028-12,2028-07,check,All corrected,
8,52,injections,Magnesium sulphate 50% in 10ml,,2700,2027-06,,high,All corrected,
8,53,injections,Metoclopramide 50mg/2ml,,,,,high,All corrected,
8,54,injections,Mixtard,,,,,high,All corrected,
8,55,injections,Morphine,,,,,high,All corrected,
8,56,injections,Neostigmine 2.5mg,,,,,high,All corrected,
8,57,injections,Noradrenaline,,,,,high,All corrected,
8,58,injections,Ondansetron 8mg,,,,,high,All corrected,
8,59,injections,Oxytocin 10iu,,43,2028-09,,high,All corrected,
8,60,injections,Omeprazole 40mg,,1208,2029-07,,high,All corrected,
8,61,injections,Pancuronium,,,,,high,All corrected,
8,62,injections,Pethidine,,,,,high,All corrected,
8,63,injections,Phenytoin 250mg,,,,,high,All corrected,
8,64,injections,Plain Marcaine,,,,,high,All corrected,
8,65,injections,Potassium chloride 20%,,,,,high,All corrected,
8,66,injections,Propofol,,,,,high,All corrected,
8,68,injections,Paracetamol 300mg/2ml,,78290,2028-01,,high,All corrected,
8,69,injections,Pentazocine 30mg/ml,,2163,2027-08,2028-02,check,All corrected,
8,70,injections,Paraldehyde,,95,2027-04,,high,All corrected,
8,71,injections,Promethazine,,1442,2027-07,,check,All corrected,
8,72,injections,Rocephin,,,,,check,All corrected,
8,73,injections,Quinine 300mg/ml,,100,2027-07,,high,All corrected,
8,74,injections,Rabies vaccine,,35,2029-01,2027-12,check,All corrected,
8,75,injections,Sodium Bicarbonate,,,,,high,All corrected,
8,76,injections,Sodium Valproate,,,,,high,All corrected,
8,77,injections,Suxamethonium,,,,,high,All corrected,
8,78,injections,Syschol 500mg,,,,,high,All corrected,
8,79,injections,Tramadol,,,,,high,All corrected,
8,80,injections,Triamcinolone 40mg,,,,,high,All corrected,
8,81,injections,Tetanus Toxoid 0.5ml,,90,2027-10,,high,All corrected,
